id,timestamp,sepal_length,sepal_width,petal_length,petal_width,target
3650,2024-07-30 06:37:42.716500,5.0,3.2,1.2,0.2,0
3649,2024-07-30 06:37:41.702207,5.7,2.8,4.1,1.3,1
3648,2024-07-30 06:37:40.696184,5.8,2.6,4.0,1.2,1
3647,2024-07-30 06:37:39.680863,6.3,2.9,5.6,1.8,2
3646,2024-07-30 06:37:38.674648,6.7,3.1,4.4,1.4,1
3645,2024-07-30 06:37:37.669664,5.1,3.8,1.5,0.3,0
3644,2024-07-30 06:37:36.661858,7.7,3.0,6.1,2.3,2
3643,2024-07-30 06:37:35.646385,4.8,3.0,1.4,0.1,0
3642,2024-07-30 06:37:34.631536,4.8,3.0,1.4,0.1,0
3641,2024-07-30 06:37:33.623977,4.4,2.9,1.4,0.2,0
3640,2024-07-30 06:37:32.618452,4.4,3.0,1.3,0.2,0
3639,2024-07-30 06:37:31.603764,5.6,2.5,3.9,1.1,1
3638,2024-07-30 06:37:30.597569,6.4,2.8,5.6,2.1,2
3637,2024-07-30 06:37:29.583101,5.4,3.9,1.3,0.4,0
3636,2024-07-30 06:37:28.577092,6.3,3.3,4.7,1.6,1
3635,2024-07-30 06:37:27.571179,6.7,3.1,5.6,2.4,2
3634,2024-07-30 06:37:26.563622,4.3,3.0,1.1,0.1,0
3633,2024-07-30 06:37:25.548352,6.2,2.9,4.3,1.3,1
3632,2024-07-30 06:37:24.532343,4.9,3.0,1.4,0.2,0
3631,2024-07-30 06:37:23.520524,6.0,2.2,5.0,1.5,2
3630,2024-07-30 06:37:22.513936,6.5,3.0,5.2,2.0,2
3629,2024-07-30 06:37:21.507732,4.6,3.1,1.5,0.2,0
3628,2024-07-30 06:37:20.501703,5.1,3.4,1.5,0.2,0
3627,2024-07-30 06:37:19.485523,5.2,3.5,1.5,0.2,0
3626,2024-07-30 06:37:18.470620,4.8,3.0,1.4,0.3,0
3625,2024-07-30 06:37:17.455809,7.2,3.6,6.1,2.5,2
3624,2024-07-30 06:37:16.450195,6.9,3.2,5.7,2.3,2
3623,2024-07-30 06:37:15.443415,6.4,2.7,5.3,1.9,2
3622,2024-07-30 06:37:14.436754,5.0,3.2,1.2,0.2,0
3621,2024-07-30 06:37:13.431014,6.1,2.8,4.0,1.3,1
3620,2024-07-30 06:37:12.423622,4.9,2.4,3.3,1.0,1
3619,2024-07-30 06:37:11.418516,6.5,3.0,5.8,2.2,2
3618,2024-07-30 06:37:10.413374,5.7,2.5,5.0,2.0,2
3617,2024-07-30 06:37:09.407557,5.7,2.5,5.0,2.0,2
3616,2024-07-30 06:37:08.392569,6.0,3.4,4.5,1.6,1
